"Habitat"	"Microbial.Clusters"
"SB071116TAWCSCB22D11BR2TR2I616"	"1"	"M.1"
"SB071116TAWCSCB74D13BR2TR1I173"	"2"	"M.2"
"SB071116TAWCSCB64D10BR1TR1I165"	"2"	"M.2"
"SB071116TAWCSCB72D20BR1TR1I169"	"2"	"M.2"
"SB071116TAWCSCB63D10BR2TR1I164"	"2"	"M.2"
"SB071116TAWCSCB62D9BR2TR1I162"	"2"	"M.2"
"SB071116TAWCSCB62D9BR1TR1I161"	"2"	"M.2"
"SB071116TAWCSCB71D20BR2TR1I168"	"2"	"M.2"
"SB071116TAWCSCB71D20BR1TR1I167"	"2"	"M.2"
"SB071116TAWCSCB54D25BR2TR1I158"	"2"	"M.2"
"SB071116TAWCSCB54D25BR1TR1I157"	"2"	"M.2"
"SB071116TAWCSCB53D25BR2TR1I156"	"2"	"M.2"
"SB071116TAWCSCB63D10BR1TR1I163"	"2"	"M.2"
"SB071116TAWCSCB52D29BR1TR1I154"	"1"	"M.2"
"SB071116TAWCSCB53D25BR2TR2I615"	"2"	"M.2"
"SB071116TAWCSCB22D11BR1TR1I144"	"1"	"M.1"
"SB071116TAWCSCB33CD24BR1TR2I611"	"1"	"M.1"
"SB071116TAWCSCB33CD24BR1TR1I148"	"1"	"M.2"
"SB071116TAWCSCB22D11BR2TR1I145"	"1"	"M.1"
"SB071116TAWCSCB44D30BR1TR1I152"	"1"	"M.2"
"SB071116TAWCSCB51D33BR1TR1I153"	"1"	"M.2"
"SB071116TAWCSCB52D29BR1TR2I619"	"1"	"M.2"
"SB071116TAWCSCB43CD26BR1TR1I151"	"1"	"M.2"
"SB071316TAWCSCB22D11BR2TR2I613"	"1"	"M.1"
"SB081216TAWCSCB51D33BR1TR1I186"	"1"	"M.1"
"SB081216TAWCSCB54D25BR2TR1I191"	"2"	"M.2"
"SB081216TAWCSCB53D25BR2TR2I189"	"1"	"M.2"
"SB081216TAWCSCB53D25BR2TR1I189"	"1"	"M.2"
"SB081216TAWCSCB54D25BR1TR1I190"	"2"	"M.2"
"SB081216TAWCSCB61D11BR1TR1I192"	"2"	"M.2"
"SB081216TAWCSCB64D10BR2TR1I199"	"2"	"M.2"
"SB081216TAWCSCB62D9BR2TR1I195"	"2"	"M.2"
"SB081216TAWCSCB63D11BR2TR1I196"	"2"	"M.2"
"SB081216TAWCSCB72D20BR2TR1I203"	"2"	"M.2"
"SB081216TAWCSCB72D20BR1TR1I204"	"2"	"M.2"
"SB081216TAWCSCB73D12BR1TR1I205"	"2"	"M.2"
"SB081216TAWCSCB43CD26BR1TR1I184"	"1"	"M.1"
"SB081216TAWCSCB62D9BR1TR1I194"	"2"	"M.2"
"SB081216TAWCSCB42CD26BR1TR1I183"	"1"	"M.1"
"SB081216TAWCSCB71D20BR2TR1I201"	"2"	"M.2"
"SB081216TAWCSCB42CD26BR2TR1I612"	"1"	"M.1"
"SB081216TAWCSCB32D10BR1TR2I621"	"1"	"M.1"
"SB081216TAWCSCB41CD31BR1TR1I182"	"1"	"M.1"
"SB081216TAWCSCB22D11BR1TR2I617"	"1"	"M.1"
"SB081216TAWCSCB41CD31BR1TR2I618"	"1"	"M.1"
"SB081216TAWCSCB22D11BR2TR1I175"	"1"	"M.1"
"SB081216TAWCSCB33CD24BR1TR1I181"	"1"	"M.1"
"SB081216TAWCSCB31D13BR1TR1I177"	"1"	"M.1"
"SB081216TAWCSCB22D11BR1TR1I176"	"1"	"M.1"
"SB081216TAWCSCB33CD24BR1TR2I623"	"1"	"M.1"
"SB081216TAWCSCB32D10BR1TR1I180"	"1"	"M.1"
"SB082916TAWCSCB43CD26BR1TR2I220"	"1"	"M.1"
"SB082916TAWCSCB62D9BR1TR1I232"	"2"	"M.2"
"SB082916TAWCSCB64D10BR1TR1I236"	"2"	"M.2"
"SB082916TAWCSCB64D10BR2TR1I237"	"2"	"M.2"
"SB082916TAWCSCB74D13BR1TR1I246"	"2"	"M.2"
"SB082916TAWCSCB74D13BR2TR1I614"	"2"	"M.2"
"SB082916TAWCSCB72D20BR1TR1I241"	"2"	"M.2"
"SB082916TAWCSCB31D13BR1TR2I212"	"1"	"M.1"
"SB082916TAWCSCB63D10BR3TR1I234"	"2"	"M.2"
"SB082916TAWCSCB61D11BR1TR1I230"	"2"	"M.2"
"SB082916TAWCSCB61D11BR2TR1I231"	"2"	"M.2"
"SB082916TAWCSCB44D30BR1TR1I222"	"1"	"M.1"
"SB082916TAWCSCB52D29BR1TR1I224"	"1"	"M.2"
"SB082916TAWCSCB53D25BR1TR2I610"	"1"	"M.2"
"SB082916TAWCSCB53D25BR1TR1I225"	"1"	"M.2"
"SB082916TAWCSCB43CD26BR1TR1I219"	"1"	"M.1"
"SB082916TAWCSCB54D25BR2TR1I228"	"2"	"M.2"
