"PHEO"	"TN"	"TP"	"CHLA"	"DOP"	"DON"	"NH4F"	"NO2F"	"NO3F"	"PC"	"PO4F"	"DO"	"PH"	"SALINITY"	"WTEMP"	"Latitude"	"HABITAT"
"SB071116TAWCSCB22D11BR2TR2I616"	1.22309594869966	0.888905659153629	-0.16464827530506	0.967522386292657	-0.629386511967654	1.13124226041722	-0.227697295907908	0.266146579453311	0.786094250822517	0.488948782764751	-0.743295699759454	0.123122332858841	-1.37451757717015	-1.91591014429084	0.903853502283276	1.72373603247971	"1"
"SB071116TAWCSCB74D13BR2TR1I173"	0.125487575981089	-3.10162099876475	-1.63030032356179	-0.861915041564649	0.240137134396962	-2.78010396421859	-1.05743498325571	-0.661003203441417	-1.09037790553329	-2.06485014089824	0.038345432053522	0.467601519967183	0.394251662387204	2.21903893776332	-0.734588701646059	-1.57467210927603	"2"
"SB071116TAWCSCB64D10BR1TR1I165"	0.125487575981089	-1.18572171834983	-0.872940361009465	0.348100939490809	0.442482121990439	-1.29619233977649	-0.0443381428325349	-0.147894413628299	-0.341913428792524	-0.543790957408097	0.124036526323375	-0.369839262485855	-0.0675452326696403	1.0702175199377	0.394919384943595	-1.23708370930704	"2"
"SB071116TAWCSCB72D20BR1TR1I169"	0.413535143520396	-1.04417920707011	-0.102109048185538	-0.677438820874146	-2.48005581256772	-1.6360024762944	0.41897878163443	-0.211900305542525	-0.353347271053564	-0.333353461468037	0.400415393185554	0.0101677153932218	0.21998868312047	1.26268182420851	0.442630323481307	-0.991773864210612	"2"
"SB071116TAWCSCB63D10BR2TR1I164"	0.125487575981089	-0.690733359536715	-0.650257877160027	-0.271544751330862	0.509499952704025	-1.21502867554731	0.635158671872792	0.161504906555766	-0.340730617524141	-0.438253049580482	0.246276559412453	-0.329344060239577	-0.0849715305963165	0.8330680652095	0.54243200853016	-0.991773864210612	"2"
"SB071116TAWCSCB62D9BR2TR1I162"	0.125487575981089	-0.677178311425916	-1.0615968349412	0.334723017177847	0.461783286021448	-0.995855887017186	0.261984343344352	0.0401995593371692	-0.327325423149128	-0.104424140888263	-0.265576030656611	-0.583653930346206	-0.315869978124737	0.678328521745688	0.493832168885833	-0.886262595408274	"2"
"SB071116TAWCSCB62D9BR1TR1I161"	0.125487575981089	-0.677178311425916	-1.0615968349412	0.334723017177847	0.461783286021448	-0.995855887017186	0.261984343344352	0.0401995593371692	-0.327325423149128	-0.104424140888263	-0.265576030656611	-0.583653930346206	-0.315869978124737	0.678328521745688	0.493832168885833	-0.886262595408274	"2"
"SB071116TAWCSCB71D20BR2TR1I168"	0.125487575981089	-0.667549573403309	-0.887518438902281	-0.142227126342076	0.533229905923616	-1.11893917886694	0.763670708648549	0.266146579453311	-0.30209211609028	-1.11073062747658	0.346403460412277	-0.378748206980037	-0.0348709240571294	0.694271161643488	0.625965145034753	-0.610590400341629	"2"
"SB071116TAWCSCB71D20BR1TR1I167"	0.125487575981089	-0.667549573403309	-0.887518438902281	-0.142227126342076	0.533229905923616	-1.11893917886694	0.763670708648549	0.266146579453311	-0.30209211609028	-1.11073062747658	0.346403460412277	-0.378748206980037	-0.0348709240571294	0.694271161643488	0.625965145034753	-0.610590400341629	"2"
"SB071116TAWCSCB54D25BR2TR1I158"	0.125487575981089	-0.657582486955115	-0.701374933287299	-0.861915041564649	0.605322336685909	-1.3139143468564	0.836984571391228	0.238402591832244	-0.304457738627047	-0.986747031847882	0.495546500330043	-0.563811281245529	-0.217847052287199	0.711088146824965	0.442243863293563	-0.447045831042199	"2"
"SB071116TAWCSCB54D25BR1TR1I157"	0.125487575981089	-0.657582486955115	-0.701374933287299	-0.861915041564649	0.605322336685909	-1.3139143468564	0.836984571391228	0.238402591832244	-0.304457738627047	-0.986747031847882	0.495546500330043	-0.563811281245529	-0.217847052287199	0.711088146824965	0.442243863293563	-0.447045831042199	"2"
"SB071116TAWCSCB53D25BR2TR1I156"	0.800146949243118	0.31198906317176	0.043590247958219	-0.890468930199196	0.412626858362801	0.900131172428806	0.654839903246909	0.329424933990528	-0.259510910428475	-0.0529294558383681	0.231642787780171	-0.287229049903447	-0.0675452326696403	0.543504890916647	0.405234755519734	-0.292879106678167	"1"
