SampleID	StationName	DateMMDDYY	DepthName	qPCR ct	CollectionAgency	sequencing_ID	TrimCount
SB071116TAWCSCB22D11BR2TR2I616	CB22	071116	11	TBD	DNR	e_13	158534.0
SB071316TAWCSCB22D11BR2TR2I613	CB22	071316	11	TBD	DNR	e_13	159412.0
SB071116TAWCSCB22D11BR1TR1I144	CB22	071116	11	16.04659767	DNR	KM	89027.0
SB071116TAWCSCB22D11BR2TR1I145	CB22	071116	11	16.1121792	DNR	KM	161544.0
SB071116TAWCSCB33CD24BR1TR2I611	CB33C	071116	24	TBD	DNR	e_13	152147.0
SB071116TAWCSCB33CD24BR1TR1I148	CB33C	071116	24	17.47520454;20.48178445	DNR	KM	15624.0
SB071116TAWCSCB43CD26BR1TR1I151	CB43C	071116	26	17.73182524	DNR	KM	3774.0
SB071116TAWCSCB44D30BR1TR1I152	CB44	071116	30	17.78460891	DNR	KM	191915.0
SB071116TAWCSCB51D33BR1TR1I153	CB51	071116	33	18.75597975	DNR	e_13	177329.0
SB071116TAWCSCB52D29BR1TR2I619	CB52	071116	29	TBD	DNR	e_13	176422.0
SB071116TAWCSCB52D29BR1TR1I154	CB52	071116	29	17.8553737;21.04233367	DNR	KM	87543.0
SB071116TAWCSCB53D25BR2TR2I615	CB53	071116	25	TBD	DNR	e_13	121417.0
SB071116TAWCSCB53D25BR2TR1I156	CB53	071116	25	17.3631028	DNR	KM	148990.0
SB071116TAWCSCB54D25BR1TR1I157	CB54	071116	25	16.80108707	ODU	KM	183903.0
SB071116TAWCSCB54D25BR2TR1I158	CB54	071116	25	18.54732556	ODU	KM	30042.0
SB071116TAWCSCB71D20BR1TR1I167	CB71	071116	20	19.00051912;20.53	ODU	spr14	34387.0
SB071116TAWCSCB71D20BR2TR1I168	CB71	071116	20	20.26	ODU	spr14	47978.0
SB071116TAWCSCB62D9BR1TR1I161	CB62	071116	09	21.5	ODU	spr14	6934.0
SB071116TAWCSCB62D9BR2TR1I162	CB62	071116	09	20.05	ODU	spr14	58964.0
SB071116TAWCSCB63D10BR1TR1I163	CB63	071116	10	16.71371576;20.22275297	ODU	KM	173041.0
SB071116TAWCSCB63D10BR2TR1I164	CB63	071116	10	17.4177177	ODU	KM	8879.0
SB071116TAWCSCB72D20BR1TR1I169	CB72	071116	20	18.38367973	ODU	KM	7513.0
SB071116TAWCSCB64D10BR1TR1I165	CB64	071116	10	18.04426928	ODU	KM	16281.0
SB071116TAWCSCB74D13BR2TR1I173	CB74	071116	13	18.65202229	ODU	KM	65459.0
SB081216TAWCSCB22D11BR1TR2I617	CB22	081216	11	TBD	DNR	e_13	222635.0
