"Chao1"	"ACE"	"InvSimpson"	"ENSpie"	"FaithsPD"	"Observed.ASVs"
"SB071116TAWCSCB22D11BR2TR2I616"	341.153846153846	332.488210583918	40.8030165051491	40.8030165051491	39.708354	270
"SB071116TAWCSCB74D13BR2TR1I173"	360.958333333333	367.395964291687	66.0956941661713	66.0956941661713	38.966762	300
"SB071116TAWCSCB64D10BR1TR1I165"	280.527777777778	281.295118592409	66.1792335672558	66.1792335672558	43.729651	264
"SB071116TAWCSCB72D20BR1TR1I169"	228.333333333333	228.153236011287	80.5452049403915	80.5452049403915	39.396061	224
"SB071116TAWCSCB63D10BR2TR1I164"	232.620689655172	234.105370575504	67.1273078270462	67.1273078270462	41.204612	229
"SB071116TAWCSCB62D9BR2TR1I162"	343.59375	361.260858932189	67.4440100948829	67.4440100948829	45.409418	308
"SB071116TAWCSCB62D9BR1TR1I161"	177.666666666667	178.359883035915	56.7096386224962	56.7096386224962	36.073657	177
"SB071116TAWCSCB71D20BR2TR1I168"	391.270833333333	384.503040123078	50.2188697131068	50.2188697131068	44.712442	335
"SB071116TAWCSCB71D20BR1TR1I167"	307.135135135135	306.306101351713	41.3117416892583	41.3117416892583	40.618518	264
"SB071116TAWCSCB54D25BR2TR1I158"	312.222222222222	316.648295616793	46.5544298039297	46.5544298039297	43.855458	278
"SB071116TAWCSCB54D25BR1TR1I157"	405.701754385965	407.186395977866	62.3636772822015	62.3636772822015	44.709318	337
"SB071116TAWCSCB53D25BR2TR1I156"	441.764705882353	455.601036573093	66.001722229958	66.001722229958	46.480497	363
"SB071116TAWCSCB63D10BR1TR1I163"	408.337837837838	428.42543211307	76.9066633647302	76.9066633647302	44.248815	353
"SB071116TAWCSCB52D29BR1TR1I154"	438.761904761905	438.093548421109	47.6389522182314	47.6389522182314	48.67347	357
"SB071116TAWCSCB53D25BR2TR2I615"	428.392857142857	420.755406918091	64.8151552008291	64.8151552008291	48.078422	352
"SB071116TAWCSCB22D11BR1TR1I144"	321.217391304348	324.441206707068	40.9697026216786	40.9697026216786	38.091293	276
"SB071116TAWCSCB33CD24BR1TR2I611"	370.767857142857	380.827925981793	71.5335387890293	71.5335387890293	46.00663	310
"SB071116TAWCSCB33CD24BR1TR1I148"	277.5	276.63625450732	56.4657261983134	56.4657261983134	43.376733	262
"SB071116TAWCSCB22D11BR2TR1I145"	290.560975609756	292.981678833203	38.6777626510112	38.6777626510112	38.140749	253
"SB071116TAWCSCB44D30BR1TR1I152"	447.018518518519	441.926960572962	43.3800449888491	43.3800449888491	48.129488	336
"SB071116TAWCSCB51D33BR1TR1I153"	410.428571428571	379.051186470611	32.5904088818444	32.5904088818444	43.142178	296
