	methanotrophy	acetoclastic_methanogenesis	methanogenesis_by_disproportionation_of_methyl_groups	methanogenesis_using_formate	methanogenesis_by_CO2_reduction_with_H2	methanogenesis_by_reduction_of_methyl_compounds_with_H2	hydrogenotrophic_methanogenesis	methanogenesis	methanol_oxidation	methylotrophy	aerobic_ammonia_oxidation	aerobic_nitrite_oxidation	nitrification	sulfate_respiration	sulfur_respiration	dark_sulfite_oxidation	sulfite_respiration	thiosulfate_respiration	respiration_of_sulfur_compounds	arsenate_detoxification	arsenate_respiration	dissimilatory_arsenate_reduction	arsenite_oxidation_detoxification	arsenite_oxidation_energy_yielding	dissimilatory_arsenite_oxidation	anammox	nitrate_denitrification	nitrite_denitrification	nitrous_oxide_denitrification	denitrification	chitinolysis	knallgas_bacteria	dark_hydrogen_oxidation	nitrogen_fixation	nitrate_ammonification	nitrite_ammonification	nitrite_respiration	cellulolysis	xylanolysis	dark_sulfide_oxidation	dark_sulfur_oxidation	dark_thiosulfate_oxidation	dark_oxidation_of_sulfur_compounds	manganese_oxidation	manganese_respiration	ligninolysis	fermentation	aerobic_chemoheterotrophy	invertebrate_parasites	human_pathogens_septicemia	human_pathogens_pneumonia	human_pathogens_nosocomia	human_pathogens_meningitis	human_pathogens_gastroenteritis	human_pathogens_diarrhea	human_pathogens_all	fish_parasites	human_gut	mammal_gut	animal_parasites_or_symbionts	plant_pathogen	oil_bioremediation	aromatic_hydrocarbon_degradation	aromatic_compound_degradation	aliphatic_non_methane_hydrocarbon_degradation	hydrocarbon_degradation	dark_iron_oxidation	iron_respiration	nitrate_respiration	nitrate_reduction	nitrogen_respiration	fumarate_respiration	intracellular_parasites	chlorate_reducers	predatory_or_exoparasitic	chloroplasts	cyanobacteria	anoxygenic_photoautotrophy_H2_oxidizing	anoxygenic_photoautotrophy_S_oxidizing	anoxygenic_photoautotrophy_Fe_oxidizing	anoxygenic_photoautotrophy	oxygenic_photoautotrophy	photoautotrophy	aerobic_anoxygenic_phototrophy	photoheterotrophy	phototrophy	plastic_degradation	ureolysis	reductive_acetogenesis	chemoheterotrophy	harmful_algae
SB062617TAWCSCB53D25BR1TR1I366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51804.30607500253	51804.30607500253	19230.76923076923	0.0	19230.76923076923	7353.684423329628	707.5710098049126	0.0	0.0	707.5710098049126	8061.25543313454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	631.7598301829577	0.0	0.0	0.0	0.0	0.0	252.70393207318307	0.0	126.35196603659153	1364.6012331951886	0.0	0.0	0.0	13039.522894976246	789068.0278985142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	707.5710098049126	0.0	0.0	0.0	783.3821894268675	0.0	0.0	0.0	707.5710098049126	38360.45688870919	38360.45688870919	0.0	353.7855049024563	1288.7900535732338	8566.663297280906	1288.7900535732335	0.0	13292.226827049428	379.0558981097746	2653.391286768422	19508.743556049732	80713.63590417468	0.0	12786.818962903062	0.0	12786.818962903062	80713.63590417468	93500.45486707773	0.0	0.0	93500.45486707773	0.0	328.515111695138	0.0	842666.5318912361	0.0
SB062617TAWCSCB31D13BR1TR1I357	4894.375067477597	0.0	0.0	0.0	0.0	0.0	0.0	467.8446755677115	98463.31018101989	103357.68524849748	16050.67117716918	3418.8649368409688	19469.536114010152	38831.108072120056	755.7490913016878	0.0	1223.5937668693994	1223.5937668693991	40054.70183898945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1763.414546370605	1619.4623385036166	0.0	0.0	0.0	143.95220786698818	0.0	0.0	0.0	251.91636376722926	3058.984417173498	0.0	0.0	0.0	8961.024939720013	580235.3618598626	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3598.805196674704	0.0	0.0	0.0	4570.482599776874	0.0	0.0	0.0	251.91636376722926	26055.34962392486	30949.724691402454	0.0	611.7968834346997	2411.1994817720515	4426.530391909886	2411.1994817720515	0.0	25731.457156224133	0.0	6261.921042213985	110987.15226544788	89214.38082556592	0.0	14611.149098499298	0.0	14611.149098499298	89214.38082556592	103825.5299240652	0.0	1583.4742865368698	105409.00421060208	0.0	467.8446755677115	0.0	693381.7972433153	0.0
SB071017TAWCSCB73D12BR1TR1I419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46430.97468813085	46430.97468813086	18738.029918732856	0.0	18738.029918732853	7246.751902272374	0.0	0.0	0.0	0.0	7246.751902272374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414.10010870127854	414.10010870127854	414.10010870127854	414.10010870127854	0.0	0.0	0.0	0.0	0.0	0.0	414.10010870127854	0.0	0.0	17754.54216056732	0.0	0.0	19100.367513846468	0.0	0.0	0.0	12371.240747450696	519747.39893369225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1501.1128940421345	0.0	0.0	0.0	1811.6879755680934	0.0	0.0	0.0	0.0	68171.23039494798	68171.23039494798	0.0	0.0	18582.742377969873	32455.096019462704	18582.742377969873	0.0	4399.813654951084	0.0	18530.979864382214	66670.11750090585	278430.56058802217	0.0	19721.517676898387	0.0	19721.517676898387	278430.56058802217	298152.07826492056	0.0	0.0	298152.0782649205	0.0	0.0	0.0	567317.1489207515	0.0
SB071017TAWCSCB73D12BR1TR1I410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32529.455431410242	32529.455431410242	5995.774406608675	0.0	5995.774406608675	2931.2674876753526	0.0	0.0	0.0	0.0	2931.2674876753526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4301.730209185907	230789.72914327044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	932.676018805794	0.0	0.0	0.0	1560.804766164798	0.0	0.0	0.0	0.0	68884.78596037079	68884.78596037079	0.0	0.0	0.0	4149.456573462512	0.0	0.0	2912.2332832099282	0.0	18539.315149323334	16807.202542969717	684070.2742828863	0.0	3159.677941260445	0.0	3159.677941260445	684070.2742828863	687229.9522241468	0.0	0.0	687229.9522241468	0.0	0.0	0.0	264956.1261587072	0.0
SB071017TAWCSCB72D20BR1TR1I409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21069.117893834016	21069.117893834016	3617.1759923927434	0.0	3617.1759923927434	3057.8188801670613	0.0	0.0	0.0	0.0	3057.8188801670613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1174.649935673932	230511.06594820356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1174.649935673932	0.0	0.0	0.0	1976.3951298640761	0.0	0.0	0.0	0.0	79447.35517312103	79447.35517312103	0.0	0.0	0.0	1174.649935673932	0.0	0.0	2237.4284489027277	0.0	14561.930154941922	20845.375048943748	700781.2354334085	0.0	2162.8475006059703	0.0	2162.8475006059703	700781.2354334085	702944.0829340145	0.0	0.0	702944.0829340145	0.0	0.0	0.0	251934.44334644714	0.0
SB071017TAWCSCB63D10BR1TR1I406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14446.04956106234	14446.04956106234	3194.7994221580175	0.0	3194.7994221580175	4278.253139237693	0.0	0.0	0.0	0.0	4278.253139237693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112512.50138904323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	388.932103567063	0.0	0.0	0.0	611.179019891099	0.0	0.0	0.0	0.0	32225.80286698522	32836.98188687632	0.0	0.0	0.0	0.0	0.0	0.0	944.549394377153	0.0	4056.0062229136574	13223.69152128014	846677.4086009557	0.0	444.49383264807204	0.0	444.49383264807204	846677.4086009557	847121.9024336038	0.0	0.0	847121.9024336038	0.0	0.0	0.0	126958.55095010556	0.0
SB071017TAWCSCB62D9BR1TR1I405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22933.78381837262	22933.78381837262	3954.541964217154	0.0	3954.541964217154	4056.9249276920323	0.0	0.0	0.0	0.0	4056.9249276920323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1804.4997312447208	171670.63400650132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	575.9041695461875	0.0	0.0	0.0	959.8402825769792	0.0	0.0	0.0	0.0	41413.90872558806	42194.578822084004	0.0	102.38296347487778	102.38296347487778	1868.4890834165194	102.38296347487778	0.0	1612.531674729325	0.0	11735.647188307865	30343.7507998669	751951.6752412398	0.0	1318.1806547390515	0.0	1318.1806547390515	751951.6752412398	753269.8558959787	0.0	0.0	753269.8558959789	0.0	0.0	0.0	194642.81143617703	0.0
SB071017TAWCSCB61D11BR1TR1I404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16089.166627803945	16089.166627803945	1748.822459543907	0.0	1748.822459543907	4267.126801287133	0.0	0.0	0.0	0.0	4267.126801287133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129156.36804551602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.90579676351257	0.0	0.0	0.0	209.85869514526885	0.0	0.0	0.0	0.0	41365.48057641188	42274.86825537471	0.0	186.54106235135006	186.54106235135006	186.54106235135006	186.54106235135006	0.0	536.3055542601314	0.0	21055.822412908645	17931.259618523527	808002.611574873	0.0	1142.5640069020192	0.0	1142.5640069020192	808002.611574873	809145.1755817749	0.0	0.0	809145.1755817749	0.0	0.0	0.0	145245.53467331995	0.0
SB071017TAWCSCB71D20BR1TR1I417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52425.18059855522	52425.18059855522	24079.80736154111	0.0	24079.80736154111	52081.183350533196	0.0	0.0	963.1922944616442	0.0	52081.18335053319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	343.9972480220158	343.9972480220158	343.9972480220158	343.9972480220158	0.0	0.0	0.0	0.0	0.0	0.0	343.9972480220158	0.0	0.0	825.5933952528379	0.0	0.0	4403.164774681803	0.0	0.0	0.0	31716.546267629856	584038.5276917784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1719.986240110079	0.0	0.0	0.0	3302.373581011352	0.0	0.0	0.0	0.0	92535.25971792226	92535.25971792226	0.0	619.1950464396285	2270.3818369453043	29583.76332989336	2270.3818369453043	0.0	10251.117991056071	0.0	23942.208462332303	19676.642586859307	217819.0574475404	0.0	8806.329549363605	0.0	8806.329549363605	217819.0574475404	226625.386996904	0.0	0.0	226625.386996904	0.0	0.0	0.0	638321.2934296525	0.0
SB071017TAWCSCB71D20BR1TR1I408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23953.762890042093	23953.762890042093	3997.861867747611	0.0	3997.861867747611	3257.310853248402	0.0	0.0	0.0	0.0	3257.310853248402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.54442192476447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4226.152030112029	215272.0550569055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1024.5217042695829	0.0	0.0	0.0	2188.2447270540547	0.0	0.0	0.0	0.0	62184.013006971196	62184.013006971196	0.0	55.68052740595559	55.68052740595559	4242.856188333815	55.68052740595559	0.0	2165.9725160916723	0.0	11091.561059266354	22862.42455288536	714776.4983629924	0.0	1369.7409741865074	0.0	1369.7409741865074	714776.4983629924	716146.239337179	0.0	0.0	716146.239337179	0.0	0.0	0.0	239314.90679079713	0.0
SB071017TAWCSCB54D25BR2TR1I412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66321.09113635527	66321.09113635529	35954.56049409948	0.0	35954.56049409949	24631.447373258336	0.0	0.0	0.0	0.0	24631.447373258336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367.6335428844528	0.0	0.0	0.0	0.0	0.0	8124.7012977464055	0.0	0.0	11653.983309437153	0.0	0.0	0.0	15918.532406896806	682033.7487592369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1213.1906915186942	0.0	0.0	0.0	2904.304988787177	0.0	0.0	0.0	0.0	73784.05205690966	73784.05205690966	0.0	441.16025146134336	10440.792617918458	16653.799492665712	10440.79261791846	0.0	22535.93617881696	0.0	28344.546156391312	33050.25550531231	81357.3030403294	0.0	11764.273372302487	0.0	11764.273372302487	81357.3030403294	93121.5764126319	0.0	0.0	93121.57641263188	0.0	0.0	0.0	749016.580272784	0.0
SB071017TAWCSCB54D25BR1TR1I402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12698.69659505019	12698.69659505019	1632.05079478638	0.0	1632.05079478638	2727.536944711485	0.0	0.0	0.0	0.0	2727.536944711485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	625.9920856714883	102081.4236848577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21999.150439312303	21999.150439312303	0.0	0.0	0.0	402.42348364595676	0.0	0.0	424.7803438485099	0.0	12296.273111404234	11334.928122694448	856200.6751771781	0.0	603.6352254689351	0.0	603.6352254689351	856200.6751771781	856804.3104026471	0.0	0.0	856804.3104026471	0.0	0.0	0.0	114780.12027990789	0.0
